season,episode,title,airdate,runtime,rating,summary,tvmaze_id
1,25,Wall: Raid on Stohess District (3),2013-09-29,25,8.7,"The battle between Eren and the Female Titan brings devastation to Stohess, leading up to a final struggle between the Titans near a damaged Wall Sina.",86802
2,1,Beast Titan,2017-04-01,25,9.3,"Coupled with the military's coverup of a previous incident, the shocking discovery inside the wall causes a stir. Elsewhere, while the new scout recruits are held for observation, a surprising threat appears.",1065098
2,2,I'm Home,2017-04-08,25,9.0,The source of the Titan's strength is revealed.,1105636
2,3,Southwestward,2017-04-15,25,9.0,The Scouts search for a hole in the wall while Eren and the others learn that someone close may be hiding all the answers.,1105637
2,4,Soldier,2017-04-22,25,9.1,The Scouts depend on a secret as the castle is assaulted.,1105638
2,5,Historia,2017-04-29,25,9.1,Krista and Ymir become lost in the mountains as they attempt to save a fellow cadet who becomes lost in a blizzard during winter training.,1151406
2,6,Warrior,2017-05-06,25,9.7,Ymir is taken to receive medical help by the Scouts after the end of the battle.,1151407
2,7,Close Combat,2017-05-13,25,9.7,"When a new enemy appears on the scene, Eren and the Scouts fight back.",1151408
2,8,The Hunters,2017-05-20,25,8.8,"When the Titan's body hits the earth, heat and steam is released allowing the Armored Titans to free itself.",1151409
2,9,Opening,2017-05-27,25,8.8,Erwin leads the expedition away from Wall Rose and Hange demands a horse ride to visit a captured TItan.,1151410
2,10,Children,2017-06-03,25,9.1,The group finally flees and Ymir debates lying or staying true to herself.,1151411
2,11,Charge,2017-06-10,25,9.3,Commander Erwin charges forth to conquer the Armored Titan.,1151412
2,12,Scream,2017-06-17,25,9.4,"Eren confronts a Titan, which results in doubts about his abilities.",1151413
3,1,Smoke Signal,2018-07-22,25,8.6,"After barely surviving Eren's recovery, a rising threat from the shadows puts everyone's lives in danger again.",1344349
3,2,Pain,2018-07-29,25,8.8,"The Scouts take a stand against a new enemy, but it's not just Titans they'll be fighting anymore.",1479021
3,3,Old Story,2018-08-05,25,8.7,"Historia and Erwin look back on their past, revealing a shady government with a hidden agenda and inspiration for an uprising.",1479022
3,4,Trust,2018-08-12,25,8.6,"On the run and running out of time, the Scouts must entrust their lives to others if they plan on surviving.",1479023
3,5,Reply,2018-08-19,25,8.9,"Erwin pleads his case for the Scouts to be spared, but an unforeseen announcement puts the fate of humanity at risk.",1479024
3,6,Sin,2018-08-26,25,9.0,"While sins of the past reveal new truths, both sides prepare for the upcoming showdown before they run out of time.",1479025
3,7,Wish,2018-09-02,25,9.2,"As battle breaks out to prevent the ritual, Historia makes a shocking decision which leads to catastrophe.",1510254
3,8,Outside the Walls of Orvud District,2018-09-09,25,9.2,"When everything falls apart, Eren must believe in himself to save his friends. But Eren alone may not be enough to stop the impending doom.",1519995
3,9,Ruler of the Walls,2018-09-16,25,9.1,The survey corps and the wall garrison must protect the Orvud District from the impending attack of Rod Reiss's titan.,1528002
3,10,Friends,2018-09-23,25,9.1,"Kenny recalls the life which has brought him to death's door, but he gets to decide whether to live on or not.",1531969
3,11,Bystander,2018-10-07,25,9.1,"Having seen a glimpse of his father's memories, Eren attempts to track down a man hoping they might shed some light on his father's secrets.",1536033
3,12,Night of the Battle to Retake the Wall,2018-10-14,25,9.1,The Scouts gather for a feisty feast before leaving to retake Wall Maria to uncover what's hidden in the basement once and for all.,1542765
3,13,The Town Where Everything Began,2019-04-28,25,9.3,"The Scouts arrive in Shiganshina as part of the operation to retake Wall Maria, but while investigating the area, they stumble upon something suspicious.",1610598
3,14,Thunder Spears,2019-05-05,25,9.3,"Against a rush of enemies, the Scouts scramble to defend their horses. But despite falling into a trap, they have their own surprise for the Armored Titan.",1629870
3,15,Descent,2019-05-12,25,9.4,"Despite their efforts, the Scouts face impending disaster in Shiganshina.",1629871
3,16,Perfect Game,2019-05-19,25,9.6,"While one front in the battle is rained on by flames, the other is battered by boulders. With no way out, the Scouts are forced to fight or die trying.",1629872
3,17,Hero,2019-05-26,25,9.8,"As Erwin's heroic charge buys Levi time to confront the Beast Titan, Armin comes up with a plan of his own that lays it all on the line.",1629873
3,18,Midnight Sun,2019-06-02,25,9.6,"While picking up the pieces from the costly battle, tensions rise when deciding which of the wounded Scouts to use the single syringe on.",1629874
3,19,The Basement,2019-06-09,25,9.1,"The Scouts reflect on all they have gained and lost in their mission. With their enemies gone, Eren and the Scouts finally enter the basement to uncover the truth that will change everything.",1629875
3,20,That Day,2019-06-16,25,9.6,"A look into Grisha's memories shows Eren the many secrets his father was hiding, including one which led to his mother's demise.",1629876
3,21,The Attack Titan,2019-06-23,25,9.6,"Eren learns the truth about his Titan powers, his Father and himself. The Survey Corps have a meeting that discusses the future of Eldia with all their new information.",1629877
3,22,Beyond the Wall,2019-06-30,25,9.4,"Scouts will be go outside the walls again and they will reach the same place where Grisha and The Owl were talking and Armin,Eren and Mikasa and other scouts will see the Sea for the first time.",1629878
4,1,Other Side of the Sea,2020-12-06,25,9.0,"As Marley battles the Mid-East Alliance to end a four-year war, a group of Warrior candidates on the front lines compete to be the successor of the Armored Titan.",1955662
4,2,Midnight Train,2020-12-13,25,8.7,"Though glad the war is over, both the Eldian Warriors and Marley brass realize that neither have a future unless they finish the job of retaking the Founding Titan.",1981471
4,3,The Door of Hope,2020-12-20,25,8.8,"Reiner reflects on his past, remembering what pushed him to become a Warrior and keep moving forward when all hope was lost.",1987370
4,4,From One Hand to Another,2020-12-27,25,8.5,"A sudden visit from the Tybur family shakes up the Marleyan military. Meanwhile, Falco smuggles letters for a friend and helps two old comrades reunite.",1987371
4,5,Declaration of War,2021-01-10,25,9.5,"While Willy Tybur reveals the truth in a shocking speech to the world, tensions rise behind the stage as Eren and Reiner meet face to face.",1993655
4,6,The War Hammer Titan,2021-01-17,25,9.6,"Eren's rampage is thwarted by the War Hammer Titan whose tenacity leaves him stumped. With Marley's military joining the fight, he'll be hard-pressed to survive on his own.",2005381
4,7,Assault,2021-01-24,25,9.6,"The forces of Paradis begin their assault, but the Warriors stand their ground. As Marley troops close in around them, Eren struggles to break the War Hammer's defenses",2005382
4,8,Assassin's Bullet,2021-01-31,25,9.2,"With no Titans left to threaten their escape, the Scouts retreat on the airship. Determined to make them pay for trampling on her home, Gabi chases after with gun in hand",2005383
4,9,Brave Volunteers,2021-02-07,25,9.2,"As Paradis deals with the aftermath of the raid on Liberio, Armin looks back in the past to meeting the volunteer soldiers who reshaped their world.",2016240
4,10,A Sound Argument,2021-02-14,25,8.6,"Two years ago, Paradis welcomed their first visitor who was surprised to see one of their own. Obtaining their help will be critical in a three-part plan to protect Paradis.",2016241
4,11,Impostors,2021-02-21,25,8.6,"Trapped on the world's most dangerous island, Falco and Gabi will do anything to survive. Elsewhere, the public demands answers when they learn the savior of Paradis has been detained.",2016242
4,12,Guides,2021-02-28,25,8.6,"While Hange and Pyxis piece together Zeke's true intentions, tension builds outside HQ where Armin and Mikasa plead for permission to speak with Eren.",2027528
4,13,Children of the Forest,2021-03-07,25,9.1,Gabi and Falco seek out a fellow Marleyan who's surprised to see Warrior candidates. The truth of what happened at Ragako may shed some light on Zeke's secret plans.,2036237
4,14,Violence,2021-03-21,25,9.0,"Armin and Mikasa speak with Eren, but are astounded by what he says. In the forest, Levi considers feeding the Beast Titan to someone new, but Zeke has other plans in mind.",2036238
4,15,Sole Salvation,2021-03-21,25,9.5,A look into Zeke's past shows his struggle to become a Warrior. His plans to end the suffering of all Eldians stems from a chance friendship made in his youth.,2039964
4,16,Heaven and Earth,2021-03-28,25,9.1,"With the Jaegerists now in charge, Zeke's master plan is revealed. But before it is put in motion, Eren recruits help to flush out any invaders in their midst.",2039965
4,17,Judgement,2022-01-09,25,9.5,"Caught off guard by Marley's surprise attack, Eren fends off their Titans alone. As the battle rages on above, the Scouts consider Eren's motives from the underground dungeons.",2153715
4,18,Sneak Attack,2022-01-16,25,9.5,"The Beast Titan joins the fray, but General Magath is determined to take him down. Meanwhile, with the city in flames, Colt and Gabi rush to rescue Falco who's held captive by the Jaegerists.",2251995
4,19,Two Brothers,2022-01-23,25,9.6,"Colt pleads with Zeke to not use his scream and turn Falco into a Titan. All the while, soldiers and Titans clash in battle as Eren struggles to make contact with his brother.",2251996
4,20,Memories of the Future,2022-01-30,25,9.7,"After Zeke makes contact with Eren, he shows him memories of Eren's and Grisha's past.",2259485
4,21,"From You, 2,000 Years Ago",2022-02-06,25,9.7,"Ymir, the founder, unveils her tragic past and deepest secrets within the walls.",2264334
4,22,Thaw,2022-02-13,25,9.1,"As Eren and the Wall Titans march to trample the rest of the world, the Survey Corps defend the Shiganshina District against the Pure Titans.",2271329
4,23,Sunset,2022-02-20,25,9.0,"Hitch Dreyse unexpectedly reunites with Annie and helps her escape the ruins of Trost District. Meanwhile, Armin and Gabi try catching up with Conny before he can sacrifice Falco to make his mother human again.",2271330
4,24,Pride,2022-02-27,25,8.6,"Armin tries to save Falco from Conny's attempt to feed him to his mother's Titan in order to restore her humanity. Back in Shiganshina District, Floch Forster begins the execution proceedings for Yelena and Onyankopon.",2273916
4,25,Night of the End,2022-03-06,25,8.7,"Deep in the forest, an unlikely rabble of Marley stragglers and island fugitives attempt to set their hatred aside and talk around a campfire without killing each other.",2283367
4,26,Traitor,2022-03-13,25,9.3,"The flying boat is guarded by a port full of Jaegerists, but the Scouts are reluctant to kill their former friends. If they wish to avoid bloodshed, they can't afford their plan to go wrong",2286958
4,27,Retrospective,2022-03-20,25,9.5,"For the flying boat to take off, the mechanics need half a day to service it. Knowing they'll never last that long with Jaegerist reinforcements on the way, the crew is forced to change their plans.",2291260
4,28,The Dawn of Humanity,2022-04-03,25,9.6,"Regardless of where it all began, Eren commits to his path of destruction during the Scouts' first visit to the Marleyan mainland, leaving Mikasa to wonder if things could've been different.",2291261
4,29,Attack on Titan: The Final Chapters (Part One),2023-03-04,61,9.5,"Chapter 1 - The Rumbling : The Rumbling continues, with the Colossal Titans killing countless people, including Ramzi and his brother and Grisha's parents, and destroying civilizations all over the world. Meanwhile, the ship carrying the scouts and warriors arrive at Odiha. Thinking her father is already dead, Annie decides to stay behind on the ship with Gabi, Falco, Yelena, and the Azumabito, while the remaining warriors, scouts, and Onyankopon take the flying boat to stop Eren. The next day, just as the group are about to take off, Floch, having survived the battle at the port, damages the hull of the flying boat before being killed by Mikasa. However, before the flying boat can be properly repaired, the Rumbling arrives. Hange appoints Armin the next commander of the Survey Corps before sacrificing herself by going up against the Colossal Titans, buying them just enough time to get the aircraft off the ground. Chapter 2 - Sinners : En route to Eren, the scouts and warriors discuss plans to confront him, with Armin still believing in a peaceful resolution. Eren suddenly brings them into the paths dimension, explaining that in order to stop the Rumbling, they must kill him, and that he will not take away their freedom to do so. Back on the ship, Falco reveals to Annie that his Titan might have the ability to fly. Many refugees from Liberio, including the Warriors' families, escape to Fort Salta, a Marleyan base. As they arrive, they see a number of airships launching an assault on Eren and his Titans. However, the airships are quickly destroyed by the Beast Titan, which materialized on Eren's skeletal form, leaving everyone utterly hopeless. Just then, the flying boat arrives and the scouts and warriors jump from the aircraft. Pieck and Reiner transform, with the latter managing to pin the Beast Titan down. Armin calls out to Eren, asking what about him is free.",2474146
4,30,Attack on Titan: The Final Chapters (Part Two),2023-11-05,90,9.5,"Eren, as the Founding Titan, advances on Fort Salta with countless other Titans. Appearing before the refugees, who stand on the brink of despair, are Mikasa, Armin, Jean, Conny, Reiner, Pieck, and Levi, who narrowly escaped from the rumbling. The battle between former comrades and childhood friends with Eren concludes here.",2643610
